Year,State,Data Status,RESIDENTIAL Revenue,RESIDENTIAL Sales,RESIDENTIAL Customers,RESIDENTIAL Price,COMMERCIAL Revenue,COMMERCIAL Sales,COMMERCIAL Customers,COMMERCIAL Price,INDUSTRIAL Revenue,INDUSTRIAL Sales,INDUSTRIAL Customers,INDUSTRIAL Price,TRANSPORTATION Revenue,TRANSPORTATION Sales,TRANSPORTATION Customers,TRANSPORTATION Price,TOTAL Revenue,TOTAL Sales,TOTAL Customers,TOTAL Price
2010,MS,Final,"1,991,611","20,174,826","1,250,147",9.87,"1,285,952","13,804,962","224,514",9.32,"992,971","15,707,377","6,792",6.32,0,0,0,.,"4,270,531","49,687,167","1,481,453",8.59
2010,MT,Final,"434,420","4,742,795","467,878",9.16,"409,362","4,789,184","101,128",8.55,"235,468","4,239,477","5,218",5.55,0,0,0,.,"1,079,252","13,771,451","574,223",7.84
2010,NC,Final,"6,288,492","62,160,106","4,185,534",10.12,"3,910,578","47,931,939","644,606",8.16,"1,623,228","26,315,849","11,012",6.17,500,"7,050",8,7.09,"11,822,797","136,414,947","4,841,160",8.67
2010,ND,Final,"357,052","4,392,596","326,408",8.13,"340,008","4,714,114","58,567",7.21,"223,757","3,849,552","2,641",5.81,0,0,0,.,"920,819","12,956,263","387,615",7.11
2010,NE,Final,"903,393","10,106,673","801,099",8.94,"727,803","9,532,438","154,014",7.64,"612,987","10,210,350","45,034",6.00,0,0,0,.,"2,244,183","29,849,458","1,000,148",7.52
2010,NH,Final,"732,038","4,485,468","597,409",16.32,"635,978","4,462,437","104,611",14.25,"247,747","1,942,167","3,496",12.76,0,0,0,.,"1,615,764","10,890,073","705,516",14.84
2010,NJ,Final,"5,021,995","30,307,269","3,454,840",16.57,"5,571,154","40,122,545","478,684",13.89,"995,278","8,428,639","12,960",11.81,"37,652","320,973",6,11.73,"11,626,078","79,179,428","3,946,489",14.68
2010,NM,Final,"710,548","6,752,473","853,808",10.52,"772,590","9,015,728","135,576",8.57,"400,122","6,660,142","7,258",6.01,0,0,0,.,"1,883,259","22,428,344","996,641",8.40
2010,NV,Final,"1,435,699","11,614,669","1,058,518",12.36,"877,691","8,969,726","154,455",9.79,"971,593","13,179,708","3,483",7.37,798,"8,491",18,9.40,"3,285,779","33,772,597","1,216,473",9.73
2010,NY,Final,"9,547,885","50,945,649","6,954,906",18.74,"12,601,108","77,275,677","1,038,254",16.31,"1,184,682","13,480,463","8,364",8.79,"401,507","2,921,788",23,13.74,"23,735,180","144,623,574","8,001,548",16.41
